EL_ABBREVIATION,FLAG,DESCRIPTION,
D,V,Variable,
Dmax,V,Variable,
ppp,0,Tlak stoupá a pak klesá,
ppp,1,Stoupal a pak stálý nebo stoupá pomaleji,
ppp,2,Stoupal (rovnoměrně nebo nerovnoměrně),
ppp,3,Klesal nebo stálý a pak stoupá nebo stoupal a pak,
ppp,4,Stálý,
ppp,5,Klesal a pak stoupá,
ppp,6,Klesal a pak stálý nebo klesal a pak klesá pomalej,
ppp,7,Klesal (rovnoměrně nebo nerovnoměrně),
ppp,8,Stoupal nebo stálý a pak klesá nebo klesal a pak k,
SCE,A,Ovlivněno umělým sněžením,
SCE,N,Nesouvislá sněhová pokrývka,
SCE,P,Poprašek,
SCE,U,Měření není možné,
SCE,Z,Záporná hodnota na vstupu,
SCEa,N,Nesouvislá sněhová pokrývka,
SCEa,P,Poprašek,
SCEa,Z,Záporná hodnota na vstupu,
SNO,A,Ovlivněno umělým sněžením,
SNO,N,Nesouvislá sněhová pokrývka,
SNO,P,Poprašek,
SNO,R,Napadl a roztál,
SRA,M,Úhrn mimořádně z manuálního srážkoměru,
SRA,T,Neměřitelné množství,
SRA1H,T,Neměřitelné množství,
SRA1H,Z,Měřeno záložním srážkoměrem,
SRA1H,5,HYDROSTART 1,
SRA1H,7,HYDROSTART 3,
SRA10M,Z,Měřeno záložním srážkoměrem,
TPM,S,teploměr zasypán sněhem,
TPM,V,teploměr vlhký,
